N2	N2
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
13.72	12.44	11.80	10.94	9.82	8.70	8.39	8.08	7.58	7.32	7.32	7.32

N2	O2
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.23	10.41	10.00	8.36	7.35	6.47	6.21	5.95	5.68	5.42	4.94	4.94

N2	NO
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
13.44	11.87	11.44	10.48	9.32	8.04	7.61	7.27	6.74	6.33	5.62	5.62

N2	N
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.21	10.19	9.68	8.81	7.76	6.73	6.46	6.18	5.74	5.36	5.36	5.36

N2	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
8.99	8.34	8.02	6.72	5.91	5.22	5.01	4.79	4.58	4.36	3.95	3.95

N2	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.97	10.50	10.25	9.28	8.38	7.53	7.25	7.02	6.63	6.32	5.73	5.73

O2	O2
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
12.62	11.06	10.65	9.72	8.70	7.70	7.38	7.12	6.73	6.42	5.89	5.89

O2	NO
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
12.93	11.32	10.90	9.94	8.89	7.80	7.45	7.17	6.73	6.39	5.80	5.80

O2	N
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
8.79	8.79	8.47	7.68	6.63	5.67	5.38	5.14	4.78	4.51	4.04	4.04

O2	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
10.13	9.12	8.61	7.78	6.71	5.67	5.40	5.13	4.78	4.50	4.50	4.50

O2	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
12.33	10.82	10.57	9.57	8.54	7.48	7.14	6.87	6.44	6.12	5.54	5.54

NO	NO
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
13.25	11.58	11.15	10.16	9.07	7.91	7.53	7.21	6.73	6.36	5.72	5.72

NO	N
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
9.65	9.65	9.26	8.29	7.07	5.94	5.60	5.33	4.91	4.60	4.06	4.06

NO	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
8.79	8.79	8.47	7.66	6.64	5.69	5.40	5.17	4.82	4.55	4.08	4.08

NO	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
13.03	11.33	10.89	9.90	8.85	7.79	7.44	7.15	6.71	6.37	5.77	5.77

N	N
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
9.11	7.94	7.69	6.72	5.82	4.98	4.70	4.48	4.14	3.88	3.43	3.11

N	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
9.08	8.15	7.94	7.09	6.06	5.14	4.88	4.67	4.34	4.07	3.56	3.21

N	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
9.31	9.31	8.96	8.03	6.84	5.75	5.42	5.17	4.77	4.47	3.95	3.95

O	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
9.46	8.22	7.93	6.76	5.58	4.67	4.41	4.20	3.88	3.64	3.21	2.91

O	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
11.11	10.13	9.88	8.87	7.69	6.60	6.26	6.00	5.59	5.28	4.74	4.37

Ar	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
12.88	11.12	10.83	9.66	8.60	7.57	7.23	6.96	6.53	6.20	5.60	5.17

e	N2
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
1.49	1.49	1.58	2.07	2.96	3.88	4.09	4.15	4.04	3.85	3.41	3.12

e	O2
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
1.30	1.30	1.30	1.30	1.73	2.10	2.18	2.23	2.29	2.31	2.32	2.31

e	NO
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
5.64	5.64	5.64	5.64	5.64	4.52	4.05	3.73	3.37	3.18	2.92	2.75

e	N
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
5.68	5.68	5.68	5.68	5.68	3.71	3.52	3.42	3.30	3.20	2.95	2.58

e	O
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
0.82	0.82	0.82	0.82	1.05	1.34	1.44	1.52	1.65	1.73	1.85	1.90

e	Ar
300	500	600	1000	2000	4000	5000	6000	8000	10000	15000	20000
0.17	0.17	0.17	0.17	0.30	0.79	1.05	1.31	1.81	2.25	3.07	3.48

