Air	273	1.716e-5	111
Ar	273	2.125e-5	144
CO2	273	1.370e-5	222
CO	273	1.657e-5	136
N2	273	1.663e-5	107
O2	273	1.919e-5	139
H2	273	8.411e-6	97
Steam	350	1.120e-5	1064
