Ar	0.000000000000000E+00	1
Ar	1.611135736988230E+05	9
Ar	1.625833076870950E+05	21
Ar	1.636126382960720E+05	7
Ar	1.642329518358000E+05	3
Ar	1.649426852542080E+05	5
Ar	1.653517702884570E+05	15
O	0.000000000000000E+00	5
O	2.277077570280000E+02	3
O	3.265688785704000E+02	1
O	2.283028632262240E+04	5
O	4.861993036434160E+04	1
Op	0.000000000000000E+00	4
Op	3.858334678336000E+04	10
Op	5.822349152848000E+04	6
O2	0.000000000000000E+00	3
O2	1.139156019700800E+04	2
O2	1.898473947826400E+04	1
O2	4.755973576639200E+04	1
O2	4.991242097343200E+04	6
O2	5.092268575561600E+04	3
O2	7.189863255967200E+04	3
O2p	0.000000000000000E+00	4
O2p	4.735440815760000E+04	8
O2p	5.837398741440000E+04	4
O2p	5.841427312000000E+04	6
O2p	6.229896616000000E+04	4
O2p	6.733467936000000E+04	2
O2p	7.121937240000000E+04	4
O2p	7.654284064000000E+04	4
O2p	8.819691976000000E+04	4
O2p	8.891630736000000E+04	4
O2p	9.423977560000000E+04	8
O2p	9.495916320000000E+04	4
O2p	9.592026503360000E+04	2
O2p	9.985099888000000E+04	2
O2p	1.035918144000000E+05	4
N	0.000000000000000E+00	4
N	2.766469645581980E+04	10
N	4.149309313560210E+04	6
Np	0.000000000000000E+00	1
Np	7.006835224000000E+01	3
Np	1.881917961600000E+02	5
Np	2.203656871824000E+04	5
Np	4.703183475776000E+04	1
Np	6.731252222192000E+04	5
Np	1.327190797527310E+05	15
N2	0.000000000000000E+00	1
N2	7.223156514095200E+04	3
N2	8.577862640384000E+04	6
N2	8.605026716160000E+04	6
N2	9.535118627874400E+04	3
N2	9.805635702203200E+04	1
N2	9.968267656935200E+04	2
N2	1.048976467715200E+05	2
N2	1.116489555200000E+05	5
N2	1.225836470400000E+05	1
N2	1.248856873600000E+05	6
N2	1.282476158188320E+05	6
N2	1.338060936000000E+05	10
N2	1.404296391107200E+05	6
N2	1.504958859200000E+05	6
N2p	0.000000000000000E+00	2
N2p	1.318997164600000E+04	4
N2p	3.663323087728000E+04	2
N2p	3.668876760000000E+04	4
N2p	5.985304832000000E+04	8
N2p	6.618365920000000E+04	8
N2p	7.598991933064000E+04	4
N2p	7.625508560000000E+04	4
N2p	8.201018640000000E+04	4
N2p	8.416834920000000E+04	4
N2p	8.632651200000000E+04	8
N2p	8.920406240000000E+04	8
N2p	9.208161280000000E+04	4
N2p	9.222549032000000E+04	4
N2p	9.293768404400000E+04	2
N2p	9.639793840000000E+04	2
N2p	1.035918144000000E+05	4
NO	0.000000000000000E+00	4
NO	5.467345760000000E+04	8
NO	6.317139627802400E+04	2
NO	6.599450342445600E+04	4
NO	6.906120960000000E+04	4
NO	7.049998480000000E+04	4
NO	7.491055017560000E+04	4
NO	7.628875293968000E+04	2
NO	8.676188537552000E+04	4
NO	8.714431182368000E+04	2
NO	8.886077063728000E+04	4
NO	8.981755614528000E+04	4
NO	8.988445919208000E+04	2
NO	9.042702132000000E+04	2
NO	9.064283760000000E+04	2
NO	9.111763341600000E+04	4
NOp	0.000000000000000E+00	1
NOp	7.508967768800000E+04	3
NOp	8.525462447600000E+04	6
NOp	8.903572570160000E+04	6
NOp	9.746982592400000E+04	3
NOp	1.000553049584000E+05	1
NOp	1.028033655904000E+05	2
NOp	1.057138639424800E+05	2
CO2     0.000000000000000E+00   1
CO      0.000000000000000E+00   1
C       0.000000000000000E+00   1
C2     0.000000000000000E+00   1
C3      0.000000000000000E+00   1
CN      0.000000000000000E+00   1
e	0.000000000000000E+00	1
