Air	-1.255300000E+02	2.000000000E+02		1.000000000E+03		1.009950160E+04		-1.968275610E+02	5.009155110E+00		-5.761013730E-03	1.066859930E-05		-7.940297970E-09	2.185231910E-12		0.000000000E+00		-1.767967310E+02	-3.921500980E+00
Air	-1.255300000E+02	1.000000000E+03		6.000000000E+03		2.415214430E+05		-1.257874600E+03	5.144558670E+00		-2.138541790E-04	7.065227840E-08		-1.071483490E-11	6.577800150E-16		0.000000000E+00		6.462263190E+03		-8.147408660E+00
Ar	0.000000000E+00		2.000000000E+02		1.000000000E+03		0.000000000E+00		0.000000000E+00		2.500000000E+00		0.000000000E+00		0.000000000E+00		0.000000000E+00		0.000000000E+00		0.000000000E+00		-7.453750000E+02	4.379674910E+00
Ar	0.000000000E+00		1.000000000E+03		6.000000000E+03		2.010538480E+01		-5.992661070E-02	2.500069400E+00		-3.992141160E-08	1.205272140E-11		-1.819015580E-15	1.078576640E-19		0.000000000E+00		-7.449939610E+02	4.379180110E+00
Ar	0.000000000E+00		6.000000000E+03		2.000000000E+04		-9.951265080E+08	6.458887260E+05		-1.675894700E+02	2.319933360E-02		-1.721080910E-06	6.531938460E-11		-9.740147730E-16	0.000000000E+00		-5.078300340E+06	1.465298480E+03
Arp	1.526778407E+06		2.000000000E+02		1.000000000E+03		-5.731209170E+04	7.930791470E+02		-1.717121220E+00	1.044184020E-02		-1.180207500E-05	6.528134780E-09		-1.447558130E-12	0.000000000E+00		1.790572230E+05		2.949150950E+01
Arp	1.526778407E+06		1.000000000E+03		6.000000000E+03		-3.835965400E+05	8.162019700E+02		2.301342630E+00		-4.952983770E-06	1.205108480E-08		-2.185050290E-12	1.265493900E-16		0.000000000E+00		1.771811460E+05		7.947507480E+00
Arp	1.526778407E+06		6.000000000E+03		2.000000000E+04		1.017372840E+07		-6.685104100E+03	4.460953790E+00		-3.034165290E-04	2.623479560E-08		-1.205115830E-12	2.303806880E-17		0.000000000E+00		2.354353540E+05		-1.044519300E+01
C	7.166800000E+05		2.000000000E+02		1.000000000E+03		6.495031470E+02		-9.649010860E-01	2.504675480E+00		-1.281448030E-05	1.980133650E-08		-1.606144030E-11	5.314483410E-15		0.000000000E+00		8.545763110E+04		4.747999220E+00
C	7.166800000E+05		1.000000000E+03		6.000000000E+03		-1.289136470E+05	1.719528570E+02		2.646044390E+00		-3.353068950E-04	1.742092740E-07		-2.902817830E-11	1.642182390E-15		0.000000000E+00		8.410597850E+04		4.130122350E+00
C	7.166800000E+05		6.000000000E+03		2.000000000E+04		4.432528010E+08		-2.886018410E+05	7.737108320E+01		-9.715281890E-03	6.649595330E-07		-2.230078780E-11	2.899388700E-16		0.000000000E+00		2.355273440E+06		-6.405122410E+02
Cp	1.809444482E+06		2.000000000E+02		1.000000000E+03		2.258533180E+03		-1.574544010E+00	2.503637590E+00		-5.202539540E-06	4.516479560E-09		-2.181151040E-12	4.494308450E-16		0.000000000E+00		2.168951910E+05		4.345775270E+00
Cp	1.809444482E+06		1.000000000E+03		6.000000000E+03		1.255112710E+04		-3.411875020E+01	2.543383220E+00		-2.805120970E-05	9.751642220E-09		-1.736855420E-12	1.246191940E-16		0.000000000E+00		2.171001790E+05		4.063988430E+00
Cp	1.809444482E+06		6.000000000E+03		2.000000000E+04		5.618154950E+05		-6.047059880E+03	5.884541660E+00		-7.211894720E-04	6.823484220E-08		-2.599878630E-12	3.633868410E-17		0.000000000E+00		2.581370540E+05		-2.280012430E+01
C2	8.304570000E+05		2.000000000E+02		1.000000000E+03		5.559567570E+05		-9.980006220E+03	6.681539910E+01		-1.743411730E-01	2.448493560E-04		-1.703447060E-07	4.684471300E-11		0.000000000E+00		1.445863860E+05		-3.448188170E+02
C2	8.304570000E+05		1.000000000E+03		6.000000000E+03		-9.688909570E+05	3.560990200E+03		-5.063511690E-01	2.945092810E-03		-7.139289080E-07	8.670470060E-11		-4.076816700E-15	0.000000000E+00		7.681860000E+04		3.339903550E+01
